"HGNC.ID"	"Approved.symbol"	"Approved.name"	"Previous.symbols"	"Alias.symbols"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"HGNC:27902"	"ARL16"	"ADP ribosylation factor like GTPase 16"	""	""	339231	"ENSG00000214087"
"HGNC:24096"	"ARL17A"	"ADP ribosylation factor like GTPase 17A"	"ARF1P2, ARL17P1"	""	51326	"ENSG00000185829"
"HGNC:32387"	"ARL17B"	"ADP ribosylation factor like GTPase 17B"	"ARL17"	""	100506084	"ENSG00000228696"
"HGNC:53032"	"ARLNC1"	"androgen receptor regulated long noncoding RNA 1"	"LINC02170"	"PRCAT47"	100996425	"ENSG00000260896"
"HGNC:17684"	"ARMC1"	"armadillo repeat containing 1"	""	"FLJ10511, Arcp"	55156	"ENSG00000104442"
"HGNC:23045"	"ARMC2"	"armadillo repeat containing 2"	""	"DKFZp434P0714, bA787I22.1"	84071	"ENSG00000118690"
"HGNC:30964"	"ARMC3"	"armadillo repeat containing 3"	""	"FLJ32827, CT81"	219681	"ENSG00000165309"
"HGNC:25781"	"ARMC5"	"armadillo repeat containing 5"	""	"FLJ13063"	79798	"ENSG00000140691"
"HGNC:25049"	"ARMC6"	"armadillo repeat containing 6"	""	"MGC19595"	93436	"ENSG00000105676"
"HGNC:26168"	"ARMC7"	"armadillo repeat containing 7"	""	"FLJ22160"	79637	"ENSG00000125449"
"HGNC:24999"	"ARMC8"	"armadillo repeat containing 8"	""	"HSPC056, DKFZP434A043, GID5, VID28"	25852	"ENSG00000114098"
"HGNC:49918"	"ARMC8P1"	"armadillo repeat containing 8 pseudogene 1"	""	""	100130871	"ENSG00000225254"
"HGNC:20730"	"ARMC9"	"armadillo repeat containing 9"	""	"FLJ12584, KIAA1868, ARM, KU-MEL-1"	80210	"ENSG00000135931"
"HGNC:21706"	"ARMC10"	"armadillo repeat containing 10"	""	"MGC3195, SVH"	83787	"ENSG00000170632"
"HGNC:43646"	"ARMC10P1"	"armadillo repeat containing 10 pseudogene 1"	""	""	389137	"ENSG00000178660"
"HGNC:21099"	"ARMC12"	"armadillo repeat containing 12"	"C6orf81"	"FLJ25390"	221481	"ENSG00000157343"
"HGNC:18073"	"ARMCX1"	"armadillo repeat containing X-linked 1"	""	"ALEX1, GASP7"	51309	"ENSG00000126947"
"HGNC:16869"	"ARMCX2"	"armadillo repeat containing X-linked 2"	""	"ALEX2, KIAA0512, GASP9"	9823	"ENSG00000184867"
"HGNC:24065"	"ARMCX3"	"armadillo repeat containing X-linked 3"	""	"ALEX3, GASP6"	51566	"ENSG00000102401"
"HGNC:41038"	"ARMCX3-AS1"	"ARMCX3 antisense RNA 1"	""	""	100128574	"ENSG00000228275"
"HGNC:28615"	"ARMCX4"	"armadillo repeat containing X-linked 4"	"CXorf35"	"MGC40053, GASP4"	100131755	"ENSG00000196440"
"HGNC:25772"	"ARMCX5"	"armadillo repeat containing X-linked 5"	""	"FLJ12969, GASP5"	64860	"ENSG00000125962"
"HGNC:42000"	"ARMCX5-GPRASP2"	"ARMCX5-GPRASP2 readthrough"	""	""	100528062	"ENSG00000271147"
"HGNC:26094"	"ARMCX6"	"armadillo repeat containing X-linked 6"	""	"FLJ20811, GASP10"	54470	"ENSG00000198960"
"HGNC:49917"	"ARMCX7P"	"armadillo repeat containing X-linked 7, pseudogene"	""	"ARMCX6-ps, GASP10ps"	653354	"ENSG00000204072"
"HGNC:34345"	"ARMH1"	"armadillo like helical domain containing 1"	"NCRNA00082, C1orf228"	"MGC33556, p40"	339541	"ENSG00000198520"
"HGNC:49394"	"ARMH2"	"armadillo like helical domain containing 2"	"C6orf229"	""	101928603	"ENSG00000260286"
"HGNC:25788"	"ARMH3"	"armadillo like helical domain containing 3"	"C10orf76"	"FLJ13114"	79591	"ENSG00000120029"
"HGNC:19846"	"ARMH4"	"armadillo like helical domain containing 4"	"C14orf37"	"UT2"	145407	"ENSG00000139971"
"HGNC:32685"	"ARMS2"	"age-related maculopathy susceptibility 2"	""	"LOC387715, ARMD8"	387715	"ENSG00000254636"
"HGNC:17872"	"ARMT1"	"acidic residue methyltransferase 1"	"C6orf211"	"FLJ12910"	79624	"ENSG00000146476"
"HGNC:700"	"ARNT"	"aryl hydrocarbon receptor nuclear translocator"	""	"HIF-1beta, bHLHe2"	405	"ENSG00000143437"
"HGNC:16876"	"ARNT2"	"aryl hydrocarbon receptor nuclear translocator 2"	""	"KIAA0307, bHLHe1"	9915	"ENSG00000172379"
"HGNC:701"	"ARNTL"	"aryl hydrocarbon receptor nuclear translocator like"	""	"MOP3, JAP3, BMAL1, PASD3, bHLHe5"	406	"ENSG00000133794"
"HGNC:18984"	"ARNTL2"	"aryl hydrocarbon receptor nuclear translocator like 2"	""	"BMAL2, MOP9, CLIF, PASD9, bHLHe6"	56938	"ENSG00000029153"
"HGNC:49892"	"ARNTL2-AS1"	"ARNTL2 antisense RNA 1"	""	""	101928646	"ENSG00000245311"
"HGNC:703"	"ARPC1A"	"actin related protein 2/3 complex subunit 1A"	""	"SOP2Hs, SOP2L, Arc40"	10552	"ENSG00000241685"
"HGNC:704"	"ARPC1B"	"actin related protein 2/3 complex subunit 1B"	""	"ARC41, p40-ARC, p41-ARC"	10095	"ENSG00000130429"
"HGNC:54638"	"ARPC1BP1"	"ARPC1B pseudogene 1"	""	""	100288663	"ENSG00000213081"
"HGNC:705"	"ARPC2"	"actin related protein 2/3 complex subunit 2"	""	"p34-Arc, ARC34"	10109	"ENSG00000163466"
"HGNC:706"	"ARPC3"	"actin related protein 2/3 complex subunit 3"	""	"p21-Arc, ARC21"	10094	"ENSG00000111229"
"HGNC:16092"	"ARPC3P1"	"actin related protein 2/3 complex subunit 3 pseudogene 1"	"ARPC3B"	"dJ470L14.3"	87171	"ENSG00000226284"
"HGNC:39431"	"ARPC3P2"	"actin related protein 2/3 complex subunit 3 pseudogene 2"	""	""	391160	"ENSG00000238137"
"HGNC:39432"	"ARPC3P3"	"actin related protein 2/3 complex subunit 3 pseudogene 3"	""	""	729494	"ENSG00000256745"
"HGNC:39434"	"ARPC3P4"	"actin related protein 2/3 complex subunit 3 pseudogene 4"	""	""	100421973	"ENSG00000256898"
"HGNC:39435"	"ARPC3P5"	"actin related protein 2/3 complex subunit 3 pseudogene 5"	""	""	441131	"ENSG00000214027"
"HGNC:707"	"ARPC4"	"actin related protein 2/3 complex subunit 4"	""	"p20-Arc, ARC20"	10093	"ENSG00000241553"
"HGNC:38830"	"ARPC4-TTLL3"	"ARPC4-TTLL3 readthrough"	""	""	100526693	"ENSG00000250151"
"HGNC:708"	"ARPC5"	"actin related protein 2/3 complex subunit 5"	""	"p16-Arc, ARC16, dJ127C7.3"	10092	"ENSG00000162704"
"HGNC:23366"	"ARPC5L"	"actin related protein 2/3 complex subunit 5 like"	""	"MGC3038, ARC16-2"	81873	"ENSG00000136950"
"HGNC:28782"	"ARPIN"	"actin related protein 2/3 complex inhibitor"	"C15orf38"	"MGC61550"	348110	"ENSG00000242498"
"HGNC:38824"	"ARPIN-AP3S2"	"ARPIN-AP3S2 readthrough"	"C15orf38-AP3S2"	""	100526783	"ENSG00000250021"
"HGNC:16967"	"ARPP19"	"cAMP regulated phosphoprotein 19"	""	"ARPP-19, ARPP-16, ARPP16, ENSAL"	10776	"ENSG00000128989"
"HGNC:54698"	"ARPP19P1"	"ARPP19 pseudogene 1"	""	""	646227	"ENSG00000231228"
"HGNC:54699"	"ARPP19P2"	"ARPP19 pseudogene 2"	""	""	643896	"ENSG00000204637"
"HGNC:16968"	"ARPP21"	"cAMP regulated phosphoprotein 21"	""	"ARPP-21, TARPP, R3HDM3"	10777	"ENSG00000172995"
"HGNC:710"	"ARR3"	"arrestin 3"	""	"ARRX"	407	"ENSG00000120500"
"HGNC:711"	"ARRB1"	"arrestin beta 1"	"ARR1"	""	408	"ENSG00000137486"
"HGNC:712"	"ARRB2"	"arrestin beta 2"	"ARR2"	"BARR2, DKFZp686L0365"	409	"ENSG00000141480"
"HGNC:28633"	"ARRDC1"	"arrestin domain containing 1"	""	"MGC40555"	92714	"ENSG00000197070"
"HGNC:23395"	"ARRDC1-AS1"	"ARRDC1 antisense RNA 1"	"C9orf37"	""	85026	"ENSG00000203993"
"HGNC:25225"	"ARRDC2"	"arrestin domain containing 2"	""	"CLONE24945, PP2703"	27106	"ENSG00000105643"
"HGNC:29263"	"ARRDC3"	"arrestin domain containing 3"	""	"KIAA1376, TLIMP"	57561	"ENSG00000113369"
"HGNC:44145"	"ARRDC3-AS1"	"ARRDC3 antisense RNA 1"	""	""	100129716	"ENSG00000281357"
"HGNC:28087"	"ARRDC4"	"arrestin domain containing 4"	""	"FLJ36045"	91947	"ENSG00000140450"
"HGNC:31407"	"ARRDC5"	"arrestin domain containing 5"	""	""	645432	"ENSG00000205784"
"HGNC:713"	"ARSA"	"arylsulfatase A"	""	""	410	"ENSG00000100299"
"HGNC:714"	"ARSB"	"arylsulfatase B"	""	""	411	"ENSG00000113273"
"HGNC:717"	"ARSD"	"arylsulfatase D"	""	""	414	"ENSG00000006756"
"HGNC:40085"	"ARSD-AS1"	"ARSD antisense RNA 1"	""	""	100506356	"ENSG00000229851"
"HGNC:718"	"ARSDP1"	"arylsulfatase D pseudogene 1"	"ARSDP"	"ARSDY1"	10034	"ENSG00000225117"
"HGNC:721"	"ARSF"	"arylsulfatase F"	""	""	416	"ENSG00000062096"
"HGNC:722"	"ARSFP1"	"arylsulfatase F pseudogene 1"	"ARSFP"	""	23757	"ENSG00000232226"
"HGNC:24102"	"ARSG"	"arylsulfatase G"	""	"KIAA1001"	22901	"ENSG00000141337"
"HGNC:32488"	"ARSH"	"arylsulfatase family member H"	""	""	347527	"ENSG00000205667"
"HGNC:32521"	"ARSI"	"arylsulfatase family member I"	""	"FLJ16069, SPG66"	340075	"ENSG00000183876"
"HGNC:26286"	"ARSJ"	"arylsulfatase family member J"	""	"FLJ23548"	79642	"ENSG00000180801"
"HGNC:25239"	"ARSK"	"arylsulfatase family member K"	""	"DKFZp313G1735, TSULF"	153642	"ENSG00000164291"
"HGNC:719"	"ARSL"	"arylsulfatase L"	"CDPX, CDPX1, ARSE"	""	415	"ENSG00000157399"
"HGNC:720"	"ARSLP1"	"arylsulfatase L pseudogene 1"	"ARSEP, ARSEP1"	""	10033	"ENSG00000224060"
"HGNC:723"	"ART1"	"ADP-ribosyltransferase 1"	""	"ART2, CD296, ARTC1"	417	"ENSG00000129744"
"HGNC:51489"	"ART2BP"	"ADP-ribosyltransferase 2B, pseudogene"	""	""	106481723	"ENSG00000237408"
"HGNC:724"	"ART2P"	"ADP-ribosyltransferase 2, pseudogene"	"RT6"	"ART1P"	418	"ENSG00000238048"
"HGNC:725"	"ART3"	"ADP-ribosyltransferase 3 (inactive)"	""	"ARTC3"	419	"ENSG00000156219"
"HGNC:726"	"ART4"	"ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)"	"DO"	"DOK1, CD297, ARTC4"	420	"ENSG00000111339"
"HGNC:24049"	"ART5"	"ADP-ribosyltransferase 5"	""	"ARTC5"	116969	"ENSG00000167311"
"HGNC:727"	"ARTN"	"artemin"	""	"NBN, EVN, ENOVIN"	9048	"ENSG00000117407"
"HGNC:29561"	"ARV1"	"ARV1 homolog, fatty acid homeostasis modulator"	""	""	64801	"ENSG00000173409"
"HGNC:728"	"ARVCF"	"ARVCF delta catenin family member"	""	""	421	"ENSG00000099889"
"HGNC:18060"	"ARX"	"aristaless related homeobox"	"MRXS1, PRTS, MRX76, MRX54, MRX43, MRX36, MRX29, MRX32, MRX33, MRX38, MRX87"	"ISSX, CT121, EIEE1"	170302	"ENSG00000004848"
"HGNC:17452"	"AS3MT"	"arsenite methyltransferase"	""	"CYT19"	57412	"ENSG00000214435"
"HGNC:735"	"ASAH1"	"N-acylsphingosine amidohydrolase 1"	"ASAH"	"AC, PHP32, FLJ21558, ACDase"	427	"ENSG00000104763"
"HGNC:18860"	"ASAH2"	"N-acylsphingosine amidohydrolase 2"	""	""	56624	"ENSG00000188611"
"HGNC:23456"	"ASAH2B"	"N-acylsphingosine amidohydrolase 2B"	"ASAH2C"	"bA449O16.3, ASAH2L, bA98I6.3"	653308	"ENSG00000204147"
"HGNC:2720"	"ASAP1"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	"DDEF1"	"PAP, KIAA1249, ZG14P, CENTB4"	50807	"ENSG00000153317"
"HGNC:48917"	"ASAP1-IT2"	"ASAP1 intronic transcript 2"	""	""	100507117	"ENSG00000280543"
"HGNC:2721"	"ASAP2"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	"DDEF2"	"KIAA0400, PAP, SHAG1, CENTB3"	8853	"ENSG00000151693"
"HGNC:14987"	"ASAP3"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	"DDEFL1"	"FLJ20199, UPLC1, CENTB6"	55616	"ENSG00000088280"
"HGNC:16011"	"ASB1"	"ankyrin repeat and SOCS box containing 1"	""	"ASB-1"	51665	"ENSG00000065802"
"HGNC:16012"	"ASB2"	"ankyrin repeat and SOCS box containing 2"	""	"ASB-2"	51676	"ENSG00000100628"
"HGNC:16013"	"ASB3"	"ankyrin repeat and SOCS box containing 3"	""	"ASB-3"	51130	"ENSG00000115239"
"HGNC:16009"	"ASB4"	"ankyrin repeat and SOCS box containing 4"	""	"ASB-4"	51666	"ENSG00000005981"
"HGNC:17180"	"ASB5"	"ankyrin repeat and SOCS box containing 5"	""	""	140458	"ENSG00000164122"
"HGNC:17181"	"ASB6"	"ankyrin repeat and SOCS box containing 6"	""	""	140459	"ENSG00000148331"
"HGNC:17182"	"ASB7"	"ankyrin repeat and SOCS box containing 7"	""	""	140460	"ENSG00000183475"
"HGNC:17183"	"ASB8"	"ankyrin repeat and SOCS box containing 8"	""	"MGC5540, FLJ21255"	140461	"ENSG00000177981"
"HGNC:17184"	"ASB9"	"ankyrin repeat and SOCS box containing 9"	""	"DKFZP564L0862, MGC4954, FLJ20636"	140462	"ENSG00000102048"
"HGNC:20972"	"ASB9P1"	"ankyrin repeat and SOCS box containing 9 pseudogene 1"	""	""	728619	"ENSG00000258527"
"HGNC:17185"	"ASB10"	"ankyrin repeat and SOCS box containing 10"	"GLC1F"	""	136371	"ENSG00000146926"
"HGNC:17186"	"ASB11"	"ankyrin repeat and SOCS box containing 11"	""	"DKFZp779E2460"	140456	"ENSG00000165192"
"HGNC:19763"	"ASB12"	"ankyrin repeat and SOCS box containing 12"	""	"FLJ39577"	142689	"ENSG00000198881"
"HGNC:19765"	"ASB13"	"ankyrin repeat and SOCS box containing 13"	""	"FLJ13134, MGC19879"	79754	"ENSG00000196372"
"HGNC:19766"	"ASB14"	"ankyrin repeat and SOCS box containing 14"	""	"DKFZp313L0121"	142686	"ENSG00000239388"
"HGNC:19767"	"ASB15"	"ankyrin repeat and SOCS box containing 15"	""	"FLJ43370"	142685	"ENSG00000146809"
"HGNC:40904"	"ASB15-AS1"	"ASB15 antisense RNA 1"	""	""	102724555	"ENSG00000230442"
"HGNC:19768"	"ASB16"	"ankyrin repeat and SOCS box containing 16"	""	"FLJ30165"	92591	"ENSG00000161664"
"HGNC:25442"	"ASB16-AS1"	"ASB16 antisense RNA 1"	"C17orf65"	"DKFZp762C2414"	339201	"ENSG00000267080"
"HGNC:19769"	"ASB17"	"ankyrin repeat and SOCS box containing 17"	""	""	127247	"ENSG00000154007"
"HGNC:19770"	"ASB18"	"ankyrin repeat and SOCS box containing 18"	""	""	401036	"ENSG00000182177"
"HGNC:24268"	"ASCC1"	"activating signal cointegrator 1 complex subunit 1"	""	"CGI-18, ASC1p50, Em:AC022392.3, p50"	51008	"ENSG00000138303"
"HGNC:24103"	"ASCC2"	"activating signal cointegrator 1 complex subunit 2"	""	"ASC1p100, FLJ21588, DKFZp586O0223"	84164	"ENSG00000100325"
"HGNC:18697"	"ASCC3"	"activating signal cointegrator 1 complex subunit 3"	"HELIC1"	"RNAH, ASC1p200, dJ121G13.4, dJ467N11.1"	10973	"ENSG00000112249"
"HGNC:738"	"ASCL1"	"achaete-scute family bHLH transcription factor 1"	""	"ASH1, HASH1, bHLHa46"	429	"ENSG00000139352"
"HGNC:739"	"ASCL2"	"achaete-scute family bHLH transcription factor 2"	""	"ASH2, HASH2, bHLHa45"	430	"ENSG00000183734"
"HGNC:740"	"ASCL3"	"achaete-scute family bHLH transcription factor 3"	""	"bHLHa42, HASH3, Sgn1"	56676	"ENSG00000176009"
"HGNC:24311"	"ASCL4"	"achaete-scute family bHLH transcription factor 4"	""	"HASH4, bHLHa44"	121549	"ENSG00000187855"
"HGNC:33169"	"ASCL5"	"achaete-scute family bHLH transcription factor 5"	""	"bHLHa47"	647219	"ENSG00000232237"
"HGNC:53619"	"ASDURF"	"ASNSD1 upstream reading frame"	""	""	110599588	"ENSG00000286053"
"HGNC:20995"	"ASF1A"	"anti-silencing function 1A histone chaperone"	""	"DKFZP547E2110, CIA"	25842	"ENSG00000111875"
"HGNC:20996"	"ASF1B"	"anti-silencing function 1B histone chaperone"	""	"FLJ10604"	55723	"ENSG00000105011"
"HGNC:742"	"ASGR1"	"asialoglycoprotein receptor 1"	""	"CLEC4H1"	432	"ENSG00000141505"
"HGNC:743"	"ASGR2"	"asialoglycoprotein receptor 2"	""	"CLEC4H2"	433	"ENSG00000161944"
"HGNC:19088"	"ASH1L"	"ASH1 like histone lysine methyltransferase"	""	"huASH1, ASH1, ASH1L1, KMT2H"	55870	"ENSG00000116539"
"HGNC:44146"	"ASH1L-AS1"	"ASH1L antisense RNA 1"	""	""	645676	"ENSG00000235919"
"HGNC:744"	"ASH2L"	"ASH2 like, histone lysine methyltransferase complex subunit"	"ASH2L1"	"ASH2L2, ASH2, Bre2"	9070	"ENSG00000129691"
"HGNC:19332"	"ASH2LP1"	"ASH2L pseudogene 1"	""	""	266703	"ENSG00000224144"
"HGNC:53059"	"ASH2LP2"	"ASH2L pseudogene 2"	""	""	100422088	"ENSG00000237428"
"HGNC:53060"	"ASH2LP3"	"ASH2L pseudogene 3"	""	""	100736411	"ENSG00000225724"
"HGNC:100"	"ASIC1"	"acid sensing ion channel subunit 1"	"ACCN2"	"BNaC2, hBNaC2"	41	"ENSG00000110881"
"HGNC:99"	"ASIC2"	"acid sensing ion channel subunit 2"	"ACCN, ACCN1"	"ASIC2a, BNC1, BNaC1, hBNaC1, MDEG"	40	"ENSG00000108684"
"HGNC:101"	"ASIC3"	"acid sensing ion channel subunit 3"	"ACCN3"	"TNaC1, DRASIC"	9311	"ENSG00000213199"
"HGNC:21263"	"ASIC4"	"acid sensing ion channel subunit family member 4"	"ACCN4"	"BNAC4"	55515	"ENSG00000072182"
"HGNC:40960"	"ASIC4-AS1"	"ASIC4 antisense RNA 1"	""	""	105373885	"ENSG00000227432"
"HGNC:17537"	"ASIC5"	"acid sensing ion channel subunit family member 5"	"ACCN5"	"INAC, HINAC"	51802	"ENSG00000256394"
"HGNC:745"	"ASIP"	"agouti signaling protein"	"AGTIL"	"ASP"	434	"ENSG00000101440"
"HGNC:746"	"ASL"	"argininosuccinate lyase"	""	"ASAL"	435	"ENSG00000126522"
"HGNC:747"	"ASLP1"	"argininosuccinate lyase pseudogene 1"	"ASLL"	""	436	"ENSG00000244723"
"HGNC:750"	"ASMT"	"acetylserotonin O-methyltransferase"	""	"HIOMT, ASMTY, HIOMTY"	438	"ENSG00000196433"
"HGNC:751"	"ASMTL"	"acetylserotonin O-methyltransferase like"	""	""	8623	"ENSG00000169093"
"HGNC:25811"	"ASMTL-AS1"	"ASMTL antisense RNA 1"	"CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS"	"FLJ13330"	80161	"ENSG00000236017"
"HGNC:753"	"ASNS"	"asparagine synthetase (glutamine-hydrolyzing)"	""	""	440	"ENSG00000070669"
"HGNC:24910"	"ASNSD1"	"asparagine synthetase domain containing 1"	""	"NS3TP1, FLJ20752, NBLA00058"	54529	"ENSG00000138381"
"HGNC:754"	"ASNSP1"	"asparagine synthetase pseudogene 1"	"ASNSL1"	""	389652	"ENSG00000248498"
"HGNC:39399"	"ASNSP3"	"asparagine synthetase pseudogene 3"	""	""	100423061	"ENSG00000236554"
"HGNC:39400"	"ASNSP4"	"asparagine synthetase pseudogene 4"	""	""	100419423	"ENSG00000251470"
"HGNC:49876"	"ASNSP6"	"asparagine synthetase pseudogene 6"	""	""	100423060	"ENSG00000267333"
"HGNC:756"	"ASPA"	"aspartoacylase"	""	"ASP, ACY2"	443	"ENSG00000108381"
"HGNC:33856"	"ASPDH"	"aspartate dehydrogenase domain containing"	""	""	554235	"ENSG00000204653"
"HGNC:20123"	"ASPG"	"asparaginase"	"C14orf76"	""	374569	"ENSG00000166183"
"HGNC:757"	"ASPH"	"aspartate beta-hydroxylase"	""	"CASQ2BP1, BAH, JCTN, HAAH"	444	"ENSG00000198363"
"HGNC:27380"	"ASPHD1"	"aspartate beta-hydroxylase domain containing 1"	""	""	253982	"ENSG00000174939"
"HGNC:30437"	"ASPHD2"	"aspartate beta-hydroxylase domain containing 2"	""	"FLJ39838"	57168	"ENSG00000128203"
"HGNC:19048"	"ASPM"	"assembly factor for spindle microtubules"	"MCPH5"	"Calmbp1, ASP, FLJ10517, FLJ10549"	259266	"ENSG00000066279"
"HGNC:14872"	"ASPN"	"asporin"	""	"FLJ20129, SLRR1C, PLAP-1"	54829	"ENSG00000106819"
"HGNC:26321"	"ASPRV1"	"aspartic peptidase retroviral like 1"	""	"Taps, SASPase, FLJ25084"	151516	"ENSG00000244617"
"HGNC:13825"	"ASPSCR1"	"ASPSCR1 tether for SLC2A4, UBX domain containing"	""	"ASPS, ASPL, UBXD9, UBXN9, TUG"	79058	"ENSG00000169696"
"HGNC:16448"	"ASRGL1"	"asparaginase and isoaspartyl peptidase 1"	""	"FLJ22316, ALP1, ALP"	80150	"ENSG00000162174"
"HGNC:758"	"ASS1"	"argininosuccinate synthase 1"	"ASS"	"CTLN1"	445	"ENSG00000130707"
"HGNC:759"	"ASS1P1"	"argininosuccinate synthetase 1 pseudogene 1"	"ASSP1"	""	442167	"ENSG00000220517"
"HGNC:765"	"ASS1P2"	"argininosuccinate synthetase 1 pseudogene 2"	"ASSP2"	""	447	"ENSG00000223922"
"HGNC:766"	"ASS1P3"	"argininosuccinate synthetase 1 pseudogene 3"	"ASSP3"	""	158452	"ENSG00000233947"
"HGNC:767"	"ASS1P4"	"argininosuccinate synthetase 1 pseudogene 4"	"ASSP4"	""	449	"ENSG00000213487"
"HGNC:768"	"ASS1P5"	"argininosuccinate synthetase 1 pseudogene 5"	"ASSP5"	""	450	"ENSG00000227881"
"HGNC:769"	"ASS1P6"	"argininosuccinate synthetase 1 pseudogene 6"	"ASSP6"	""	451	"ENSG00000215583"
"HGNC:770"	"ASS1P7"	"argininosuccinate synthetase 1 pseudogene 7"	"ASSP7"	""	339845	"ENSG00000236893"
"HGNC:771"	"ASS1P8"	"argininosuccinate synthetase 1 pseudogene 8"	"ASSP8"	""	453	"ENSG00000251418"
"HGNC:772"	"ASS1P9"	"argininosuccinate synthetase 1 pseudogene 9"	"ASSP9"	""	454	"ENSG00000217791"
"HGNC:760"	"ASS1P10"	"argininosuccinate synthetase 1 pseudogene 10"	"ASSP10"	""	455	"ENSG00000215325"
"HGNC:761"	"ASS1P11"	"argininosuccinate synthetase 1 pseudogene 11"	"ASSP11"	"TCAG_1641141"	340274	"ENSG00000225308"
"HGNC:762"	"ASS1P12"	"argininosuccinate synthetase 1 pseudogene 12"	"ASSP12"	""	392302	"ENSG00000237437"
"HGNC:763"	"ASS1P13"	"argininosuccinate synthetase 1 pseudogene 13"	"ASSP13"	""	341230	"ENSG00000255353"
"HGNC:764"	"ASS1P14"	"argininosuccinate synthetase 1 pseudogene 14"	"ASSP14"	""	459	"ENSG00000257316"
"HGNC:25021"	"ASTE1"	"asteroid homolog 1"	""	"HT001"	28990	"ENSG00000034533"
"HGNC:31704"	"ASTL"	"astacin like metalloendopeptidase"	""	"ovastacin, SAS1B"	431705	"ENSG00000188886"
"HGNC:773"	"ASTN1"	"astrotactin 1"	"ASTN"	""	460	"ENSG00000152092"
"HGNC:17021"	"ASTN2"	"astrotactin 2"	""	"KIAA0634"	23245	"ENSG00000148219"
"HGNC:51175"	"ASTN2-AS1"	"ASTN2 antisense RNA 1"	""	""	100128505	"ENSG00000229105"
"HGNC:18318"	"ASXL1"	"ASXL transcriptional regulator 1"	""	"KIAA0978"	171023	"ENSG00000171456"
"HGNC:23805"	"ASXL2"	"ASXL transcriptional regulator 2"	""	"ASXH2, FLJ10898, KIAA1685"	55252	"ENSG00000143970"
"HGNC:29357"	"ASXL3"	"ASXL transcriptional regulator 3"	"KIAA1713"	""	80816	"ENSG00000141431"
"HGNC:1350"	"ASZ1"	"ankyrin repeat, SAM and basic leucine zipper domain containing 1"	"C7orf7, ANKL1"	"Orf3, GASZ, ALP1, CT1.19"	136991	"ENSG00000154438"
"HGNC:25903"	"ATAD1"	"ATPase family AAA domain containing 1"	""	"FLJ14600, Msp1"	84896	"ENSG00000138138"
"HGNC:30123"	"ATAD2"	"ATPase family AAA domain containing 2"	""	"PRO2000, DKFZp667N1320, MGC5254, MGC29843, CT137, ANCCA"	29028	"ENSG00000156802"
"HGNC:29230"	"ATAD2B"	"ATPase family AAA domain containing 2B"	""	"KIAA1240"	54454	"ENSG00000119778"
"HGNC:25567"	"ATAD3A"	"ATPase family AAA domain containing 3A"	""	"FLJ10709"	55210	"ENSG00000197785"
"HGNC:24007"	"ATAD3B"	"ATPase family AAA domain containing 3B"	""	"TOB3, KIAA1273"	83858	"ENSG00000160072"
"HGNC:32151"	"ATAD3C"	"ATPase family AAA domain containing 3C"	""	"FLJ34599"	219293	"ENSG00000215915"
"HGNC:25752"	"ATAD5"	"ATPase family AAA domain containing 5"	"C17orf41"	"FLJ12735, FRAG1, ELG1"	79915	"ENSG00000176208"
"HGNC:21186"	"ATAT1"	"alpha tubulin acetyltransferase 1"	"C6orf134"	"FLJ13158, Em:AB023049.7, MEC17"	79969	"ENSG00000137343"
"HGNC:779"	"ATCAY"	"ATCAY kinesin light chain interacting caytaxin"	""	"BNIP-H"	85300	"ENSG00000167654"
"HGNC:782"	"ATE1"	"arginyltransferase 1"	""	""	11101	"ENSG00000107669"
"HGNC:49496"	"ATE1-AS1"	"ATE1 antisense RNA 1"	""	"ENST00000437593"	100130887	"ENSG00000226864"
"HGNC:783"	"ATF1"	"activating transcription factor 1"	""	"TREB36"	466	"ENSG00000123268"
"HGNC:37691"	"ATF1P1"	"activating transcription factor 1 pseudogene 1"	""	""	100128159	"ENSG00000219387"
"HGNC:784"	"ATF2"	"activating transcription factor 2"	"CREB2"	"TREB7, CRE-BP1, HB16"	1386	"ENSG00000115966"
"HGNC:785"	"ATF3"	"activating transcription factor 3"	""	""	467	"ENSG00000162772"
"HGNC:786"	"ATF4"	"activating transcription factor 4"	"TXREB"	"TAXREB67, CREB-2"	468	"ENSG00000128272"
"HGNC:789"	"ATF4P1"	"activating transcription factor 4 pseudogene 1"	"TXREBP, ATF4P"	"TAXREB67P"	469	"ENSG00000213338"
"HGNC:34025"	"ATF4P2"	"activating transcription factor 4 pseudogene 2"	""	""	340600	"ENSG00000273041"
"HGNC:788"	"ATF4P3"	"activating transcription factor 4 pseudogene 3"	"ATF4C"	""	643159	"ENSG00000228218"
"HGNC:787"	"ATF4P4"	"activating transcription factor 4 pseudogene 4"	"ATF4B"	""	100127952	"ENSG00000256167"
"HGNC:790"	"ATF5"	"activating transcription factor 5"	""	""	22809	"ENSG00000169136"
"HGNC:791"	"ATF6"	"activating transcription factor 6"	""	"ATF6A"	22926	"ENSG00000118217"
